DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-09 06:00:00,1025.0,1.0,0.0,92.0,350.0,2.2,9.4
2022-01-09 07:00:00,1025.1,1.0,0.0,92.0,340.0,2.2,13.0
2022-01-09 08:00:00,1025.0,0.6,0.0,89.0,350.0,2.2,11.2
2022-01-09 09:00:00,1024.6,0.5,0.0,92.0,350.0,1.7,9.4
2022-01-09 10:00:00,1024.5,0.5,0.0,92.0,350.0,1.7,9.4
2022-01-09 11:00:00,1024.8,-0.7,0.0,88.0,340.0,1.1,9.4
2022-01-09 12:00:00,1024.8,-0.6,0.0,92.0,0.0,0.6,0.0
2022-01-09 13:00:00,1024.7,-0.7,0.0,88.0,350.0,1.1,11.2
2022-01-09 14:00:00,1024.8,-0.6,0.0,92.0,360.0,0.6,7.6
2022-01-09 15:00:00,1025.3,-0.6,0.0,92.0,0.0,0.6,0.0
2022-01-09 16:00:00,1025.4,-2.2,0.0,92.0,270.0,-1.1,7.6
2022-01-09 17:00:00,1025.8,-1.2,0.0,88.0,0.0,0.6,0.0
2022-01-09 18:00:00,1026.5,1.7,0.0,89.0,0.0,3.3,0.0
2022-01-09 19:00:00,1026.4,2.2,0.0,73.0,340.0,6.7,7.6
2022-01-09 20:00:00,1025.9,2.2,0.0,63.0,360.0,8.9,7.6
2022-01-09 21:00:00,1025.6,1.6,0.0,56.0,0.0,10.0,0.0
2022-01-09 22:00:00,1025.2,2.1,0.0,54.0,0.0,11.1,0.0
2022-01-09 23:00:00,1025.1,2.2,0.0,52.0,10.0,11.7,5.4
2022-01-10 00:00:00,1025.1,2.9,0.0,59.0,330.0,10.6,7.6
2022-01-10 01:00:00,1025.3,1.6,0.0,56.0,350.0,10.0,7.6
2022-01-10 02:00:00,1025.3,1.7,0.0,68.0,340.0,7.2,9.4
2022-01-10 03:00:00,1025.7,1.1,0.0,82.0,360.0,3.9,9.4
2022-01-10 04:00:00,1025.5,1.1,0.0,82.0,360.0,3.9,11.2
2022-01-10 05:00:00,1025.6,0.6,0.0,79.0,340.0,3.9,13.0
2022-01-10 06:00:00,1025.8,0.0,0.0,79.0,350.0,3.3,13.0
2022-01-10 07:00:00,1026.4,-0.6,0.0,82.0,350.0,2.2,9.4
2022-01-10 08:00:00,1026.9,-0.7,0.0,78.0,360.0,2.8,5.4
2022-01-10 09:00:00,1027.0,-0.7,0.0,88.0,0.0,1.1,0.0
